meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url,macro_kcal,kcal_diff_pct,implausible,cal_per_100g,score_cal,score_sodium,score_sugar,score_fiber,pct_p,pct_c,pct_f,score_macro,health_score
26,Public Stew,Thai,Breakfast,Paleo,1087.0,45.8,137.5,55.8,25.6,31.7,1137.0,41.0,211.0,Boiled,55.0,50.0,4.8,0,https://example.com/images/meal_26.jpg,1235.4,0.13652253909843615,False,515.1658767772511,0.0,0.242,0.0,1.0,14.82920511575198,44.51999352436458,40.65080135988344,0.819640062597809,41.232801251956175
28,Listen Salad,Indian,Snack,Keto,1091.0,23.2,129.0,13.7,29.0,34.4,464.0,148.0,243.0,Raw,51.0,40.0,3.9,0,https://example.com/images/meal_28.jpg,732.0999999999999,0.3289642529789185,False,448.97119341563786,0.0,0.6906666666666667,0.0,1.0,12.675863953011884,70.48217456631608,16.84196148067204,0.5672608477894642,45.158550289122616
29,Law Rice,Chinese,Lunch,Balanced,1189.0,43.3,27.2,47.3,7.1,30.4,1946.0,300.0,338.0,Steamed,36.0,102.0,2.3,0,https://example.com/images/meal_29.jpg,707.7,0.404793944491169,False,351.77514792899404,0.0,0.0,0.0,0.20999999999999996,24.473647025575808,15.373745937544156,60.15260703688002,0.3333333333333333,10.866666666666665
31,Main Soup,Mexican,Snack,Keto,872.0,46.9,131.6,23.3,6.1,48.4,1588.0,238.0,395.0,Grilled,44.0,47.0,3.8,0,https://example.com/images/meal_31.jpg,923.7,0.05928899082568813,False,220.7594936708861,0.0,0.0,0.0,0.10999999999999996,20.30962433690592,56.988199631915116,22.702176031178954,0.9668633394680813,21.537266789361624
33,Story Curry,Mediterranean,Lunch,Low-Carb,1178.0,65.7,118.8,39.0,18.6,26.6,1210.0,160.0,456.0,Roasted,14.0,63.0,1.5,0,https://example.com/images/meal_33.jpg,1089.0,0.07555178268251274,False,258.33333333333337,0.0,0.19333333333333336,0.0,1.0,24.132231404958677,43.63636363636363,32.231404958677686,1.0,43.86666666666667
35,Plant Curry,Thai,Dinner,Vegan,645.0,14.7,141.1,9.0,9.6,49.9,767.0,82.0,359.0,Steamed,31.0,33.0,2.5,0,https://example.com/images/meal_35.jpg,704.1999999999999,0.091782945736434,False,179.6657381615599,0.2583333333333333,0.4886666666666667,0.0,0.45999999999999996,8.34990059642147,80.1476853166714,11.50241408690713,0.33087191138881006,30.757438227776202
38,Give Sandwich,Mediterranean,Dinner,Paleo,821.0,45.7,39.9,31.7,14.0,1.2,2455.0,225.0,489.0,Grilled,46.0,93.0,1.9,0,https://example.com/images/meal_38.jpg,627.7,0.23544457978075511,False,167.89366053169735,0.0,0.0,0.952,0.9,29.12219212999841,25.42615899314959,45.451648876852,0.5829085019382932,48.698170038765866
39,Black Curry,Indian,Snack,Low-Carb,1180.0,60.5,63.3,33.0,7.2,49.8,2347.0,124.0,427.0,Steamed,58.0,89.0,2.3,0,https://example.com/images/meal_39.jpg,792.2,0.32864406779661015,False,276.3466042154567,0.0,0.0,0.0,0.22000000000000003,30.547841454178236,31.96162585205756,37.4905326937642,0.8245182193048892,20.890364386097783
40,Yeah Pasta,Indian,Dinner,Low-Carb,1003.0,26.4,89.2,31.1,2.0,15.1,149.0,264.0,348.0,Raw,14.0,33.0,2.0,0,https://example.com/images/meal_40.jpg,742.3,0.2599202392821536,False,288.2183908045977,0.0,0.9006666666666667,0.396,0.0,14.226054156001616,48.0668193452782,37.7071264987202,0.8586487942880235,43.10630921909381
42,Kind Wrap,Indian,Dinner,Balanced,466.0,23.3,58.3,0.8,7.3,34.7,1337.0,266.0,136.0,Grilled,32.0,115.0,1.4,0,https://example.com/images/meal_42.jpg,333.59999999999997,0.2841201716738198,False,342.6470588235294,0.5566666666666666,0.10866666666666669,0.0,0.22999999999999998,27.937649880095925,69.9040767386091,2.158273381294964,0.454236610711431,26.99139888089529
43,Maintain Wrap,Mediterranean,Snack,Paleo,686.0,38.5,71.2,40.6,20.3,25.8,2341.0,295.0,124.0,Grilled,23.0,104.0,1.2,0,https://example.com/images/meal_43.jpg,804.2,0.17230320699708462,False,553.2258064516129,0.18999999999999995,0.0,0.0,1.0,19.14946530713753,35.41407610047252,45.436458592389954,0.7354513802536683,38.50902760507336
44,Administration Curry,Mediterranean,Snack,Balanced,794.0,51.0,36.9,20.7,29.8,36.9,1839.0,268.0,489.0,Raw,40.0,110.0,2.0,0,https://example.com/images/meal_44.jpg,537.9,0.32254408060453404,False,162.37218813905932,0.010000000000000009,0.0,0.0,1.0,37.92526491912995,27.44004461795873,34.63469046291132,0.7419129949804796,35.03825989960959
47,Change Wrap,Chinese,Lunch,Low-Carb,583.0,15.6,58.4,44.8,3.0,3.9,661.0,152.0,289.0,Fried,24.0,37.0,4.3,0,https://example.com/images/meal_47.jpg,699.2,0.19931389365351637,False,201.73010380622839,0.3616666666666667,0.5593333333333333,0.844,0.0,8.924485125858123,33.40961098398169,57.66590389016017,0.3722349351639969,42.744698703279944
49,After Sandwich,Italian,Breakfast,Paleo,591.0,64.4,93.9,23.8,11.8,28.4,1042.0,160.0,424.0,Fried,50.0,118.0,3.5,0,https://example.com/images/meal_49.jpg,847.4000000000001,0.43384094754653146,False,139.38679245283018,0.3483333333333334,0.30533333333333335,0.0,0.68,30.39886712296436,44.323814019353314,25.277318857682324,1.0,46.67333333333333
50,Should Stew,Japanese,Dinner,Vegan,867.0,44.1,92.2,37.2,28.0,13.3,2462.0,15.0,287.0,Grilled,34.0,24.0,3.9,0,https://example.com/images/meal_50.jpg,880.0,0.014994232987312572,False,302.0905923344948,0.0,0.0,0.46799999999999997,1.0,20.045454545454547,41.909090909090914,38.04545454545455,0.9492424242424242,48.344848484848484
54,Interview Sandwich,Mexican,Breakfast,Balanced,609.0,9.3,12.7,59.2,6.4,6.3,1403.0,178.0,388.0,Grilled,54.0,68.0,1.7,0,https://example.com/images/meal_54.jpg,620.8000000000001,0.01937602627257811,False,156.95876288659792,0.31833333333333336,0.06466666666666665,0.748,0.14000000000000004,5.9922680412371125,8.182989690721648,85.82474226804125,0.09987113402061853,27.417422680412372
55,Economic Curry,Mexican,Snack,Vegetarian,275.0,46.1,23.0,4.1,23.0,4.9,1179.0,249.0,366.0,Baked,12.0,44.0,1.1,1,https://example.com/images/meal_55.jpg,313.29999999999995,0.1392727272727271,False,75.13661202185791,0.875,0.21399999999999997,0.804,1.0,58.85732524736675,29.364826045323976,11.777848707309289,0.35237791254388773,64.90755825087776
56,Task Salad,Japanese,Breakfast,Keto,953.0,22.2,117.4,48.6,8.4,38.0,947.0,28.0,210.0,Grilled,50.0,36.0,3.4,0,https://example.com/images/meal_56.jpg,995.8,0.04491080797481632,False,453.8095238095238,0.0,0.3686666666666667,0.0,0.34,8.91745330387628,47.15806386824664,43.924482827877085,0.66654950793332,27.504323491999738
57,Let Rice,American,Lunch,Paleo,795.0,5.7,107.1,59.7,10.1,13.3,871.0,269.0,500.0,Fried,57.0,77.0,3.7,0,https://example.com/images/meal_57.jpg,988.5,0.24339622641509434,False,159.0,0.008333333333333304,0.41933333333333334,0.46799999999999997,0.51,2.306525037936267,43.338391502276174,54.355083459787565,0.38252402630247834,35.7638138593829
58,Section Salad,Japanese,Lunch,Vegan,836.0,12.8,108.8,7.8,5.8,20.4,565.0,163.0,297.0,Baked,41.0,40.0,3.5,0,https://example.com/images/meal_58.jpg,556.6,0.33421052631578946,False,281.48148148148147,0.0,0.6233333333333333,0.18400000000000005,0.07999999999999999,9.198706431908013,78.18900467121811,12.612288896873878,0.36351658881303156,25.016998442927296
59,Hard Wrap,Chinese,Breakfast,Low-Carb,1119.0,8.4,78.1,24.7,9.2,43.4,2489.0,109.0,145.0,Steamed,12.0,83.0,3.5,0,https://example.com/images/meal_59.jpg,568.3,0.492135835567471,False,771.7241379310344,0.0,0.0,0.0,0.41999999999999993,5.9123702269927865,54.970966039063875,39.11666373394334,0.6965951082174907,22.331902164349813
60,On Curry,Thai,Breakfast,Vegan,617.0,41.2,113.4,21.6,1.7,42.4,1385.0,86.0,468.0,Roasted,47.0,18.0,4.3,0,https://example.com/images/meal_60.jpg,812.8000000000001,0.3173419773095625,False,131.83760683760684,0.30500000000000005,0.07666666666666666,0.0,0.0,20.275590551181104,55.80708661417323,23.917322834645667,0.9865485564304461,27.364304461942258
61,Expert Rice,Mexican,Breakfast,Vegetarian,798.0,75.0,100.2,8.9,17.6,9.6,1400.0,40.0,474.0,Fried,47.0,108.0,2.2,0,https://example.com/images/meal_61.jpg,780.9,0.021428571428571457,False,168.35443037974684,0.0033333333333332993,0.06666666666666665,0.616,1.0,38.417210910487896,51.32539377641183,10.25739531310027,0.7806697400435395,49.33339480087079
65,Thought Rice,American,Dinner,Vegetarian,477.0,51.5,0.0,11.1,13.4,41.5,533.0,198.0,297.0,Boiled,55.0,42.0,4.1,0,https://example.com/images/meal_65.jpg,305.9,0.35870020964360594,False,160.6060606060606,0.5383333333333333,0.6446666666666667,0.0,0.8400000000000001,67.34226871526643,0.0,32.65773128473357,0.3333333333333333,47.12666666666667
66,Include Curry,Chinese,Lunch,Low-Carb,602.0,58.4,128.7,11.0,10.6,26.7,1186.0,271.0,269.0,Baked,9.0,112.0,2.7,0,https://example.com/images/meal_66.jpg,847.4,0.407641196013289,False,223.79182156133828,0.32999999999999996,0.20933333333333337,0.0,0.5599999999999999,27.5666745338683,60.75053103611046,11.682794430021241,0.7655377232318464,37.297421131303594
68,Relationship Stew,Mexican,Breakfast,Low-Carb,1199.0,21.5,17.6,52.3,20.2,25.2,226.0,175.0,114.0,Boiled,28.0,83.0,1.2,0,https://example.com/images/meal_68.jpg,627.1,0.4769808173477898,False,1051.7543859649122,0.0,0.8493333333333333,0.0,1.0,13.713921224685057,11.226279700207304,75.05979907510763,0.22856535374475095,41.55797374156169
70,Company Soup,American,Breakfast,Balanced,1195.0,28.0,112.6,39.2,20.4,44.4,1429.0,177.0,347.0,Boiled,14.0,97.0,4.1,0,https://example.com/images/meal_70.jpg,915.2,0.2341422594142259,False,344.3804034582132,0.0,0.04733333333333334,0.0,1.0,12.237762237762237,49.213286713286706,38.54895104895105,0.8114801864801865,37.1762703962704
72,With Wrap,Mediterranean,Dinner,Vegetarian,817.0,35.4,129.2,39.3,15.0,1.4,1441.0,92.0,230.0,Baked,47.0,113.0,4.1,0,https://example.com/images/meal_72.jpg,1012.0999999999999,0.23880048959608313,False,355.2173913043478,0.0,0.03933333333333333,0.944,1.0,13.990712380199586,51.062148009090016,34.9471396107104,0.8998452063366598,57.66357079339986
74,Well Wrap,Thai,Lunch,Balanced,350.0,53.1,32.9,19.1,15.3,50.0,1035.0,204.0,244.0,Roasted,17.0,72.0,2.2,0,https://example.com/images/meal_74.jpg,515.9,0.4739999999999999,False,143.44262295081967,0.75,0.31000000000000005,0.0,1.0,41.17076952897848,25.508819538670284,33.32041093235124,0.6556341668281968,54.312683336563936
75,Television Pasta,Mediterranean,Breakfast,Vegetarian,865.0,29.3,39.0,59.0,10.2,7.6,297.0,29.0,283.0,Raw,55.0,103.0,2.8,0,https://example.com/images/meal_75.jpg,804.2,0.07028901734104041,False,305.6537102473498,0.0,0.802,0.696,0.5199999999999999,14.573489181795573,19.398159661775676,66.02835115642874,0.24289148636325955,45.21782972726519
79,Black Wrap,Chinese,Breakfast,Keto,692.0,50.9,144.3,12.8,22.2,34.8,1058.0,245.0,345.0,Raw,32.0,80.0,2.6,0,https://example.com/images/meal_79.jpg,896.0000000000001,0.29479768786127186,False,200.57971014492756,0.18000000000000005,0.29466666666666663,0.0,1.0,22.72321428571428,64.41964285714286,12.857142857142856,0.7239583333333334,43.972500000000004
80,Yes Rice,Chinese,Breakfast,Keto,856.0,52.6,147.4,26.5,20.4,14.5,138.0,193.0,470.0,Baked,54.0,120.0,3.9,0,https://example.com/images/meal_80.jpg,1038.5,0.21320093457943926,False,182.12765957446808,0.0,0.908,0.42000000000000004,1.0,20.25999037072701,56.774193548387096,22.965816080885894,0.9704301075268816,65.96860215053763
81,Will Soup,Indian,Lunch,Vegan,684.0,64.1,145.5,20.2,23.4,31.3,1712.0,99.0,264.0,Roasted,10.0,78.0,3.6,0,https://example.com/images/meal_81.jpg,1020.1999999999999,0.4915204678362572,False,259.09090909090907,0.19333333333333336,0.0,0.0,1.0,25.132326994706922,57.04763771809449,17.82003528719859,0.9295399594850684,42.45746585636804
83,Together Stew,Mexican,Breakfast,Low-Carb,1086.0,62.3,87.5,57.6,10.6,18.7,1729.0,10.0,433.0,Baked,35.0,76.0,4.9,0,https://example.com/images/meal_83.jpg,1117.6,0.02909760589318592,False,250.8083140877598,0.0,0.0,0.252,0.5599999999999999,22.29778095919828,31.317108088761636,46.38511095204009,0.6655332856120258,29.550665712240516
86,Check Curry,Italian,Dinner,Vegetarian,572.0,24.3,63.4,26.7,7.7,19.0,1400.0,129.0,427.0,Raw,31.0,109.0,4.3,0,https://example.com/images/meal_86.jpg,591.1,0.03339160839160843,False,133.95784543325527,0.38,0.06666666666666665,0.24,0.27,16.44391811876163,42.903062087633224,40.65301979360514,0.8465149720859415,36.06363277505216
87,Learn Sandwich,Italian,Dinner,Balanced,783.0,74.1,141.3,3.4,8.2,43.3,2084.0,257.0,466.0,Boiled,50.0,37.0,4.0,0,https://example.com/images/meal_87.jpg,892.2,0.1394636015325671,False,168.02575107296138,0.02833333333333332,0.0,0.0,0.31999999999999995,33.221250840618694,63.34902488231339,3.4297242770679213,0.584678323245909,18.660233131584842
91,Summer Stew,Japanese,Lunch,Vegetarian,487.0,6.4,72.0,16.3,22.7,6.8,621.0,269.0,343.0,Steamed,56.0,75.0,1.6,1,https://example.com/images/meal_91.jpg,460.30000000000007,0.05482546201232019,False,141.98250728862973,0.5216666666666667,0.5860000000000001,0.728,1.0,5.561590267217032,62.5678905061916,31.870519226591355,0.6332283293504238,69.3778999203418
92,Attorney Salad,Chinese,Dinner,Vegan,350.0,11.8,29.0,15.2,15.8,6.0,948.0,130.0,225.0,Baked,31.0,69.0,3.8,1,https://example.com/images/meal_92.jpg,300.0,0.14285714285714285,False,155.55555555555557,0.75,0.368,0.76,1.0,15.733333333333336,38.666666666666664,45.599999999999994,0.7300000000000001,72.16
93,Reality Wrap,Thai,Lunch,Paleo,510.0,11.7,85.3,34.4,20.6,10.8,540.0,254.0,297.0,Baked,23.0,9.0,1.5,0,https://example.com/images/meal_93.jpg,697.5999999999999,0.3678431372549018,False,171.7171717171717,0.4833333333333333,0.64,0.568,1.0,6.708715596330276,48.910550458715605,44.38073394495413,0.6221330275229358,66.26932721712538
95,Foot Wrap,Mediterranean,Lunch,Keto,1094.0,74.7,43.1,24.1,26.7,13.5,417.0,271.0,234.0,Baked,34.0,80.0,3.1,0,https://example.com/images/meal_95.jpg,688.1,0.3710237659963437,False,467.52136752136755,0.0,0.722,0.45999999999999996,1.0,43.42392094172359,25.054497892748145,31.521581165528268,0.6105096158504093,55.85019231700819
99,Animal Curry,Mexican,Breakfast,Keto,1148.0,61.4,89.9,4.6,14.0,25.5,2452.0,58.0,112.0,Boiled,23.0,110.0,3.6,0,https://example.com/images/meal_99.jpg,646.6,0.4367595818815331,False,1025.0,0.0,0.0,0.0,0.9,37.98329724713888,55.61398082276523,6.402721930095885,0.7134240643365297,32.26848128673059
101,Week Stew,Italian,Dinner,Keto,1145.0,15.4,55.2,51.3,27.6,19.2,1104.0,238.0,102.0,Boiled,17.0,120.0,4.1,0,https://example.com/images/meal_101.jpg,744.1,0.3501310043668122,False,1122.549019607843,0.0,0.264,0.23199999999999998,1.0,8.278457196613358,29.67343099045827,62.04811181292836,0.2991981364511938,35.903962729023874
103,Discussion Rice,Mexican,Breakfast,Balanced,478.0,23.4,83.6,2.7,2.2,10.1,322.0,4.0,434.0,Steamed,51.0,27.0,2.9,1,https://example.com/images/meal_103.jpg,452.3,0.05376569037656902,False,110.13824884792626,0.5366666666666666,0.7853333333333333,0.5960000000000001,0.0,20.69422949369887,73.93323015697545,5.372540349325669,0.44065516987250347,47.17310339745008
110,Stuff Stew,Italian,Breakfast,Vegan,306.0,43.9,42.7,10.1,1.9,34.5,1867.0,12.0,327.0,Raw,16.0,18.0,4.5,0,https://example.com/images/meal_110.jpg,437.29999999999995,0.4290849673202613,False,93.57798165137615,0.8233333333333334,0.0,0.0,0.0,40.15549965698605,39.05785501943747,20.78664532357649,0.8983725893741902,34.43411845415047
111,Use Wrap,Japanese,Lunch,Vegetarian,897.0,52.1,17.5,32.8,13.3,22.2,690.0,20.0,161.0,Steamed,15.0,25.0,2.4,0,https://example.com/images/meal_111.jpg,573.5999999999999,0.3605351170568563,False,557.1428571428571,0.0,0.54,0.11199999999999999,0.8300000000000001,36.33193863319387,12.203626220362624,51.46443514644352,0.3700604370060434,37.04120874012087
112,Final Sandwich,Mexican,Dinner,Vegetarian,635.0,29.4,98.4,30.0,26.4,11.2,2189.0,177.0,279.0,Roasted,10.0,84.0,4.3,0,https://example.com/images/meal_112.jpg,781.2,0.23023622047244102,False,227.59856630824373,0.275,0.0,0.552,1.0,15.053763440860212,50.38402457757296,34.56221198156682,0.9175627240143368,54.89125448028673
115,Try Curry,American,Lunch,Vegetarian,854.0,68.0,111.9,43.4,21.7,6.6,1200.0,245.0,422.0,Roasted,28.0,120.0,4.5,0,https://example.com/images/meal_115.jpg,1110.2,0.30000000000000004,False,202.36966824644549,0.0,0.19999999999999996,0.736,1.0,24.500090073860566,40.31705998919114,35.18284993694829,0.9969525010508619,58.65905002101724
116,Bill Stew,Indian,Lunch,Low-Carb,817.0,55.1,92.3,21.3,3.9,39.7,2286.0,159.0,430.0,Fried,34.0,10.0,3.0,0,https://example.com/images/meal_116.jpg,781.3000000000001,0.04369645042839649,False,190.0,0.0,0.0,0.0,0.0,28.20939459874568,47.254575707154736,24.53602969409958,1.0,20.0
121,Billion Salad,Thai,Breakfast,Vegetarian,410.0,28.1,20.9,28.9,16.9,7.9,1434.0,123.0,389.0,Grilled,6.0,93.0,2.1,0,https://example.com/images/meal_121.jpg,456.09999999999997,0.11243902439024382,False,105.39845758354755,0.65,0.04400000000000004,0.6839999999999999,1.0,24.643718482788866,18.32931374698531,57.02696777022582,0.3333333333333333,54.22666666666667
122,Any Rice,Japanese,Breakfast,Paleo,446.0,60.5,12.1,1.1,27.2,19.8,1482.0,228.0,199.0,Boiled,32.0,33.0,1.0,1,https://example.com/images/meal_122.jpg,300.29999999999995,0.3266816143497759,False,224.1206030150754,0.5900000000000001,0.01200000000000001,0.20799999999999996,1.0,80.5860805860806,16.117216117216117,3.2967032967032974,0.05494505494505497,37.2989010989011
123,Raise Stew,Indian,Lunch,Vegan,471.0,62.3,56.5,19.9,0.9,7.1,1910.0,50.0,289.0,Grilled,10.0,28.0,1.3,1,https://example.com/images/meal_123.jpg,654.3,0.3891719745222929,False,162.9757785467128,0.5483333333333333,0.0,0.716,0.0,38.08650466147027,34.54073055173468,27.372764786795052,0.8575704315044068,42.4380752967548
125,Particular Wrap,Japanese,Lunch,Paleo,870.0,59.8,102.9,0.0,5.2,43.2,1608.0,196.0,124.0,Grilled,22.0,36.0,1.0,0,https://example.com/images/meal_125.jpg,650.8,0.2519540229885058,False,701.6129032258065,0.0,0.0,0.0,0.020000000000000018,36.754763368162266,63.24523663183774,0.0,0.49999999999999983,10.399999999999995
126,Building Curry,American,Lunch,Vegan,956.0,49.7,102.2,2.4,7.9,4.3,2254.0,115.0,476.0,Boiled,12.0,23.0,4.0,0,https://example.com/images/meal_126.jpg,629.2,0.34184100418410035,False,200.84033613445376,0.0,0.0,0.8280000000000001,0.29000000000000004,31.595677050222505,64.97139224411951,3.432930705657978,0.5576923076923077,33.51384615384615
127,Dream Curry,Italian,Breakfast,Balanced,765.0,74.3,96.3,20.1,4.8,29.9,690.0,159.0,274.0,Steamed,36.0,47.0,3.1,0,https://example.com/images/meal_127.jpg,863.3,0.12849673202614373,False,279.1970802919708,0.05833333333333335,0.54,0.0,0.0,34.42603961542917,44.61948337773659,20.954477006834242,1.0,31.966666666666665
128,Item Soup,Chinese,Lunch,Balanced,484.0,10.8,72.9,11.7,12.1,12.1,1844.0,102.0,387.0,Boiled,11.0,86.0,2.9,1,https://example.com/images/meal_128.jpg,440.1,0.09070247933884293,False,125.06459948320415,0.5266666666666666,0.0,0.516,0.71,9.815950920245399,66.25766871165645,23.926380368098158,0.6426380368098158,47.90609406952965
130,Nearly Wrap,Japanese,Lunch,Low-Carb,745.0,44.2,28.5,43.7,12.4,10.8,1784.0,124.0,482.0,Baked,47.0,118.0,3.6,0,https://example.com/images/meal_130.jpg,684.1,0.081744966442953,False,154.5643153526971,0.09166666666666667,0.0,0.568,0.74,25.844174828241485,16.66423037567607,57.491594796082445,0.3333333333333333,34.66
131,Democrat Rice,Mexican,Snack,Vegan,584.0,6.1,50.9,39.4,27.0,8.5,121.0,218.0,367.0,Raw,33.0,79.0,4.8,0,https://example.com/images/meal_131.jpg,582.5999999999999,0.0023972602739727586,False,159.12806539509538,0.36,0.9193333333333333,0.6599999999999999,1.0,4.188122210779266,34.94679025060076,60.86508753861999,0.31891520768966714,65.16497082046
133,But Wrap,Mediterranean,Breakfast,Low-Carb,535.0,44.6,57.0,40.9,5.4,41.5,1258.0,186.0,338.0,Raw,43.0,71.0,2.0,0,https://example.com/images/meal_133.jpg,774.5,0.44766355140186914,False,158.28402366863907,0.44166666666666665,0.16133333333333333,0.0,0.040000000000000036,23.034215622982572,29.438347320852166,47.52743705616526,0.6151818377447817,25.163636754895634
134,Nice Sandwich,American,Dinner,Keto,577.0,30.5,12.3,51.0,25.1,15.3,1821.0,176.0,477.0,Baked,47.0,15.0,4.1,0,https://example.com/images/meal_134.jpg,630.2,0.0922010398613519,False,120.9643605870021,0.3716666666666667,0.0,0.388,1.0,19.358933671850203,7.807045382418281,72.83402094573151,0.3226488945308367,41.64631122395007
135,How Curry,Indian,Dinner,Vegan,661.0,60.0,112.0,22.9,3.4,41.0,2279.0,242.0,265.0,Baked,24.0,62.0,4.1,0,https://example.com/images/meal_135.jpg,894.1,0.3526475037821483,False,249.43396226415095,0.2316666666666667,0.0,0.0,0.0,26.84263505200761,50.10625209708086,23.05111285091153,1.0,24.633333333333336
